,cross-validation-7-splits-articles-2023.csv,train-validation-test-60-20-20-articles-2023.csv,cross-validation-5-splits-articles-2023.csv,cross-validation-3-splits-articles-2023.csv,train-test-80-20-articles-2023.csv
0,pubmedbert-base-embeddings-text-concatenation,all-distilroberta-v1-vector-concatenation,pubmedbert-base-embeddings-vector-concatenation,pubmedbert-base-embeddings-text-concatenation,pubmedbert-base-embeddings-vector-weighted-average
1,all-mpnet-base-v2-text-concatenation,all-distilroberta-v1-vector-sum,pubmedbert-base-embeddings-text-concatenation,all-mpnet-base-v2-text-concatenation,pubmedbert-base-embeddings-vector-sum
2,S-PubMedBert-MS-MARCO-vector-concatenation,all-distilroberta-v1-vector-average,S-PubMedBert-MS-MARCO-vector-concatenation,S-PubMedBert-MS-MARCO-vector-concatenation,pubmedbert-base-embeddings-vector-average
3,all-mpnet-base-v2-vector-concatenation,all-mpnet-base-v2-vector-weighted-average,S-PubMedBert-MS-MARCO-vector-weighted-average,pubmedbert-base-embeddings-vector-concatenation,all-distilroberta-v1-vector-concatenation
4,pubmedbert-base-embeddings-vector-weighted-average,pubmedbert-base-embeddings-text-concatenation,S-PubMedBert-MS-MARCO-vector-sum,pubmedbert-base-embeddings-vector-sum,pubmedbert-base-embeddings-text-concatenation
5,pubmedbert-base-embeddings-vector-sum,S-PubMedBert-MS-MARCO-vector-concatenation,S-PubMedBert-MS-MARCO-vector-average,pubmedbert-base-embeddings-vector-average,S-PubMedBert-MS-MARCO-vector-concatenation
6,pubmedbert-base-embeddings-vector-average,all-mpnet-base-v2-text-concatenation,pubmedbert-base-embeddings-vector-weighted-average,all-mpnet-base-v2-vector-concatenation,pubmedbert-base-embeddings-vector-concatenation
7,S-PubMedBert-MS-MARCO-vector-sum,pubmedbert-base-embeddings-vector-sum,pubmedbert-base-embeddings-vector-sum,pubmedbert-base-embeddings-vector-weighted-average,all-mpnet-base-v2-vector-weighted-average
8,S-PubMedBert-MS-MARCO-vector-average,pubmedbert-base-embeddings-vector-average,pubmedbert-base-embeddings-vector-average,S-PubMedBert-MS-MARCO-vector-weighted-average,all-distilroberta-v1-vector-weighted-average
9,S-PubMedBert-MS-MARCO-text-concatenation,pubmedbert-base-embeddings-vector-weighted-average,S-PubMedBert-MS-MARCO-text-concatenation,S-PubMedBert-MS-MARCO-text-concatenation,all-mpnet-base-v2-vector-concatenation
10,pubmedbert-base-embeddings-vector-concatenation,S-PubMedBert-MS-MARCO-vector-weighted-average,all-mpnet-base-v2-text-concatenation,all-mpnet-base-v2-vector-weighted-average,S-PubMedBert-MS-MARCO-vector-sum
11,all-mpnet-base-v2-vector-weighted-average,all-mpnet-base-v2-vector-sum,all-MiniLM-L6-v2-vector-concatenation,S-PubMedBert-MS-MARCO-vector-sum,S-PubMedBert-MS-MARCO-vector-average
12,all-mpnet-base-v2-vector-sum,all-mpnet-base-v2-vector-average,all-mpnet-base-v2-vector-weighted-average,S-PubMedBert-MS-MARCO-vector-average,S-PubMedBert-MS-MARCO-vector-weighted-average
13,all-mpnet-base-v2-vector-average,all-MiniLM-L6-v2-vector-sum,all-mpnet-base-v2-vector-concatenation,all-mpnet-base-v2-vector-sum,all-MiniLM-L6-v2-vector-concatenation
14,all-MiniLM-L6-v2-vector-concatenation,all-MiniLM-L6-v2-vector-average,all-MiniLM-L6-v2-text-concatenation,all-mpnet-base-v2-vector-average,all-distilroberta-v1-vector-sum
15,S-PubMedBert-MS-MARCO-vector-weighted-average,all-distilroberta-v1-vector-weighted-average,all-distilroberta-v1-vector-concatenation,all-MiniLM-L6-v2-vector-concatenation,all-distilroberta-v1-vector-average
16,all-MiniLM-L6-v2-text-concatenation,pubmedbert-base-embeddings-vector-concatenation,all-mpnet-base-v2-vector-sum,all-MiniLM-L6-v2-text-concatenation,bert-base-uncased-raw-vector-concatenation
17,all-distilroberta-v1-vector-concatenation,S-PubMedBert-MS-MARCO-vector-sum,all-mpnet-base-v2-vector-average,all-MiniLM-L6-v2-vector-weighted-average,all-mpnet-base-v2-text-concatenation
18,all-MiniLM-L6-v2-vector-weighted-average,S-PubMedBert-MS-MARCO-vector-average,all-distilroberta-v1-vector-weighted-average,all-distilroberta-v1-vector-concatenation,all-MiniLM-L6-v2-vector-weighted-average
19,all-MiniLM-L6-v2-vector-sum,all-MiniLM-L6-v2-vector-weighted-average,all-MiniLM-L6-v2-vector-sum,all-MiniLM-L6-v2-vector-sum,bigbird-roberta-large-raw-vector-average
20,all-MiniLM-L6-v2-vector-average,all-mpnet-base-v2-vector-concatenation,all-MiniLM-L6-v2-vector-average,all-MiniLM-L6-v2-vector-average,bigbird-roberta-large-raw-vector-sum
21,all-distilroberta-v1-vector-sum,all-MiniLM-L6-v2-vector-concatenation,all-distilroberta-v1-vector-sum,all-distilroberta-v1-vector-weighted-average,all-MiniLM-L6-v2-vector-sum
22,all-distilroberta-v1-vector-average,S-PubMedBert-MS-MARCO-text-concatenation,all-distilroberta-v1-vector-average,all-distilroberta-v1-vector-sum,all-MiniLM-L6-v2-vector-average
23,all-distilroberta-v1-vector-weighted-average,all-distilroberta-v1-text-concatenation,all-MiniLM-L6-v2-vector-weighted-average,all-distilroberta-v1-vector-average,all-mpnet-base-v2-vector-sum
24,all-distilroberta-v1-text-concatenation,bert-base-uncased-raw-vector-concatenation,all-distilroberta-v1-text-concatenation,all-distilroberta-v1-text-concatenation,all-mpnet-base-v2-vector-average
25,bert-base-uncased-raw-vector-weighted-average,bert-base-uncased-raw-vector-sum,bert-base-uncased-raw-vector-weighted-average,bert-base-uncased-raw-vector-concatenation,all-distilroberta-v1-text-concatenation
26,bert-base-uncased-raw-vector-concatenation,bert-base-uncased-raw-vector-average,bert-base-uncased-raw-vector-concatenation,bert-base-uncased-raw-vector-weighted-average,S-PubMedBert-MS-MARCO-text-concatenation
27,bert-base-uncased-raw-vector-sum,all-MiniLM-L6-v2-text-concatenation,bert-base-uncased-raw-vector-sum,bigbird-roberta-large-raw-text-concatenation,bert-base-uncased-raw-vector-sum
28,bert-base-uncased-raw-vector-average,bigbird-roberta-large-raw-vector-weighted-average,bert-base-uncased-raw-vector-average,bert-base-uncased-raw-vector-sum,bert-base-uncased-raw-vector-average
29,bigbird-roberta-large-raw-text-concatenation,bert-base-uncased-raw-vector-weighted-average,bigbird-roberta-large-raw-text-concatenation,bert-base-uncased-raw-vector-average,all-MiniLM-L6-v2-text-concatenation
30,bert-base-uncased-raw-text-concatenation,bigbird-roberta-large-raw-text-concatenation,bigbird-roberta-large-raw-vector-weighted-average,bigbird-roberta-large-raw-vector-weighted-average,bert-base-uncased-mask-vector-sum
31,bert-base-uncased-mask-vector-weighted-average,bert-base-uncased-mask-vector-sum,bert-base-uncased-raw-text-concatenation,bert-base-uncased-raw-text-concatenation,bert-base-uncased-mask-vector-average
32,bigbird-roberta-large-raw-vector-weighted-average,bert-base-uncased-mask-vector-average,bigbird-roberta-large-raw-vector-concatenation,bert-base-uncased-mask-vector-sum,bigbird-roberta-large-raw-vector-concatenation
33,bigbird-roberta-large-raw-vector-concatenation,bert-base-uncased-mask-vector-concatenation,bigbird-roberta-large-raw-vector-sum,bert-base-uncased-mask-vector-average,bert-base-uncased-raw-vector-weighted-average
34,bert-base-uncased-mask-vector-sum,bert-base-uncased-raw-text-concatenation,bigbird-roberta-large-raw-vector-average,bert-base-uncased-mask-vector-concatenation,bert-base-uncased-mask-vector-weighted-average
35,bert-base-uncased-mask-vector-average,bigbird-roberta-large-raw-vector-concatenation,bert-base-uncased-mask-vector-weighted-average,bigbird-roberta-large-raw-vector-concatenation,bert-base-uncased-raw-text-concatenation
36,bigbird-roberta-large-raw-vector-sum,bigbird-roberta-large-raw-vector-sum,bert-base-uncased-mask-vector-sum,bert-base-uncased-mask-vector-weighted-average,bigbird-roberta-large-raw-text-concatenation
37,bigbird-roberta-large-raw-vector-average,bigbird-roberta-large-raw-vector-average,bert-base-uncased-mask-vector-average,bigbird-roberta-large-raw-vector-sum,bigbird-roberta-large-raw-vector-weighted-average
38,bert-base-uncased-mask-vector-concatenation,bert-base-uncased-mask-vector-weighted-average,bert-base-uncased-mask-vector-concatenation,bigbird-roberta-large-raw-vector-average,bert-base-uncased-mask-vector-concatenation
39,bert-base-uncased-mask-text-concatenation,bert-base-uncased-mask-text-concatenation,bert-base-uncased-mask-text-concatenation,bert-base-uncased-mask-text-concatenation,bert-base-uncased-mask-text-concatenation
40,bigbird-roberta-large-mask-text-concatenation,bigbird-roberta-large-mask-text-concatenation,bigbird-roberta-large-mask-text-concatenation,bigbird-roberta-large-mask-text-concatenation,bigbird-roberta-large-mask-vector-concatenation
41,bigbird-roberta-large-mask-vector-concatenation,bigbird-roberta-large-mask-vector-sum,bigbird-roberta-large-mask-vector-concatenation,bigbird-roberta-large-mask-vector-concatenation,bigbird-roberta-large-mask-vector-sum
42,bigbird-roberta-large-mask-vector-weighted-average,bigbird-roberta-large-mask-vector-average,bigbird-roberta-large-mask-vector-sum,bigbird-roberta-large-mask-vector-weighted-average,bigbird-roberta-large-mask-vector-average
43,bigbird-roberta-large-mask-vector-sum,bigbird-roberta-large-mask-vector-weighted-average,bigbird-roberta-large-mask-vector-average,bigbird-roberta-large-mask-vector-sum,bigbird-roberta-large-mask-text-concatenation
44,bigbird-roberta-large-mask-vector-average,bigbird-roberta-large-mask-vector-concatenation,bigbird-roberta-large-mask-vector-weighted-average,bigbird-roberta-large-mask-vector-average,bigbird-roberta-large-mask-vector-weighted-average
